Titre,Prix,Adresse,Description,Prix_scaled
FRIGO VITRINE 3 PORTES 1320L SMBS,1110000.0,Point-e Dakar,frigo vitrine portes smbswanter,0.2746176647217433
CONGELATEUR VERTICAL 3PORTES VERSION AMERICAIN 110V,400000.0,Point-e Dakar,wanter liquidons tous articles magasins prix imbattables,0.01630187507912862
CONGELATEUR VITRINE HORIZONTAL,1035000.0,Point-e Dakar,mettons ventes congélateurs horizontalvertical dautres matériels prix abordables,0.24733078553414317
FRIGO VITRINE 2 PORTES 820L,720000.0,Point-e Dakar,wanter materiels electroniques,0.13272589294622258
Agglos de Qualité pour vos projets de construction,350.0,Sicap Liberté Dakar,découvrez agglos solides durables parfait tous travaux construction fabriqués matériaux qualitéles garantissent résistance optimale finition soignée disponibles plusieurs dimensions blocs répondent normes plus stricteslivraison rapide tarifs compétitifs assurés,-0.1291008084851967
Pack Machine Pop Corn,,Médina Dakar,machine popcorn disponible chez sps distributionopération sans effort machine mas éclaté conçue facilité dutilisation permettant produire rapidement efficacement mas éclaté haute qualité sans formation expertise étenduedurable fiable moteur robuste watts garantie an composants base cette machine assure performances longévité constantes fait investissement précieux usines collations boulangeries hôtels magasins dalimentation,
Machine barbe à papa,175000.0,Médina Dakar,machine barbe papa mise point spécialement usage professionnel convainc non seulement design moderne aussi élément chauffant performant aluminium celuici fonctionne puissance kw permet machine datteindre température service très rapidementla machine barbe papa fabriquée acier inoxydable permettant nettoyage facile protège efficacement contre corrosion,-0.06555876248367182
Machine Pop corn 🍿,125000.0,Médina Dakar,machine popcorn disponible chez sps distributionopération sans effort machine mas éclaté conçue facilité dutilisation permettant produire rapidement efficacement mas éclaté haute qualité sans formation expertise étenduedurable fiable moteur robuste watts garantie an composants base cette machine assure performances longévité constantes fait investissement précieux usines collations boulangeries hôtels magasins dalimentation,-0.08375001527540525
Machine Glace 🍦,950000.0,Médina Dakar,machines crème glacée haute qualité machine crème glacée usage commercial machine fabrication crème glacée mobilemachines glaceperformantes pratiques elles permettent proposer glaces onctueuses rafrachissantes temps recordadresse médina rue x blaise diagne,0.21640565578819634
GPS VEHICLE TRACKER,62000.0,Ouakam Dakar,suivi temps réel surveillez véhicules équipements tempsréel grce technologie pointe permet davoir unevue densemble immédiate localisation statutlimitation vitesse assurez sécurité conformité destrajets imposant limitation vitesse véhicules pourréduire risques daccidents améliorer sécurité routièrecadrage zone définissez zones géographiques spécifiques etrecevez alertes instantanées dès quun véhicule appareil entreou sort zones contrôle optimal actifsécoute cabine suivez conversations bord manière discrètepour garantir surveillance accrue comportements assurer lasécurité conducteurs passagersarrêt moteur distance cas durgence raisons desécurité arrêtez moteur véhicule distance offrantainsi contrôle total situationgéofencing créez barrières virtuelles autour véhicules ouzones sensibles permettant recevoir alertes temps réel dèsquun mouvement non autorisé détecté lintérieur àlextérieur zone définiesécurisez gérez surveillez actifs solutionsinnovantes offrant tranquillité desprit totale contrôlesans précédent,-0.10667099379298937
Lit médical électrique.,1400000.0,Almadies Dakar,vends lit médical électrique tout neuf tous accessoires potence incorporéematelas médicalmatelas anti escarres prix ferme définitif,0.38012693091379723
"cylindre spécial  ( biométrie et badge, biométrie et code )",130000.0,Ouakam Dakar,cylindres électroniques représentent avancée significative domaine sécurité daccès faciles installer dispositifs remplacent cylindres mécaniques classiques offrent gestion simplifiée accès via code badge biométrie idéals gestion dun logement location saisonnière locaux professionnels cylindres connectés offrent flexibilité contrôle accèsle cylindre électronique connecté parfait ceux souhaitent gestion intelligente accès permet ainsi définir accès temporaires permanents selon besoins fini temps clés physiques pouvez désormais accorder autorisations distance employés invités locataires cylindre sinstalle simplement place tout cylindre classique offrant solution moderne pratique sécuriser espaces,-0.08193088999623191
Matela anti escarre( orthopédie),75000.0,Guediawaye Dakar,matela orthopédique place neuf,-0.10194126806713869
Portes à  vendre,15000.0,Keur Massar Dakar,version américaine cm x cmportes vitrées ideale salon cuisine couloir spatiowanter premier venu premier servi,-0.1237707714172188
Conteneur Aménagé en Bureau / Conteneur vide,,Colobane Dakar,vente conteneur vide aménagé dakar partout sénégalnous spécialistes vente conteneurs vide conteneur aménagés dakar partout sénégalnous proposons vente conteneurs vide conteneurs aménagés pied pieds tous besoins disposons tous type conteneur aménagés,
vente Reservoir D' Eau Verticale et Horizontale,65000.0,Plateau Dakar,mettons vente réservoir deau tout capacité,-0.10557951862548537
Conteneur pres Fabriqué / Box ou Bangalow près Fabriqué,,Plateau Dakar,entreprise sénégalais basée dakar réalisons conteneurs près fabriqué panneaux chandwich usinage bureau toulette sanitaire poste garde base vie merci contacter si besoins tout sorte projet conteneurs près fabriqué,
Ventouse 300KG + support,49500.0,Ouakam Dakar,support jusquà kg parfaite sécuriser grandes portes compris environnements exigeants comme issues secourssécurité renforcée système antidémontage intégré minimiser risques vandalisme contact hall permettant vérifier tout moment si ventouse verrouillée déverrouilléealimentation simplicité fonctionne tension continue v v dc sans nuisance sonore idéale environnements nécessitant discrétion fiabilitédéverrouillage cas panne cas coupure courant évacuation durgence ventouse déverrouille automatiquement garantissant sécurité maximalefacilité dinstallation raccordement simplifié grce bornier vis permettant mise place rapide sécurisée,-0.11121880699092274
Prise connectée intelligente,17000.0,Ouakam Dakar,contrôlez surveillez consommation dénergie directement depuis lapplication solution pratique maison plus économe énergiecette prise intelligente compatible alexa google home offre design ultramince permettant garder laccès deuxième prise idéale encombrer espacesprogrammez appareils simuler présence lorsque absent dissuadant ainsi intrus apportant tranquillité desprit inestimableen seulement minutes prêt lutiliser branchez prise connectezla wifi ghz contrôlez appareils sans effort lapplication intuitivela prise intelligente idéale maison connectée sécurisée économe énergie,-0.12304312130554947
