Titre,Prix,Adresse,Description
grillage,N/A,Plateau Dakar,"Khelcome business vous offre des clôtures grillages air de jeux ou rigide, grillage pvc, grille de clôture, tendeur, fil tendeur Galva ou fil de tension poteau ou piquet, jambe de force, poteau de tension ou piquet de tension, et barbelés pour la sécurité de vos maisons, entreprises, terrains, champs et autres avec service pose et livraison disponible."
Canapés et salons,230 000 F Cfa,Fann Hock Dakar,Votre confort est notre priorité. Découvrez nos canapés de haute qualité dès   !
lustre design avec différents modèles,1 F Cfa,Sacré-cœur Dakar,Des lustres design avec différents modèles disponibles à différents prix veuillez trouver ci-joint les photos
Groupe électrogène 200 KVA,17 750 000 F Cfa,Sebikotane Dakar,"Fourniture de groupes électrogènes
Moteur Perkins - Cummins - BaudoinDisponible en 13 kVa - 17 kVa - 33 kVa - 88 kVa - 110 kVa - 275 kVa - 440 kVa et puissances supérieures (jusqu'à 2500 KVA)Avec capote insonorisé et inverseur.Idéal pour une utilisation de secours ou en fonctionnement continue.Tension : 220/380 V TRI+N, 50 Hz.Garantie 12 moisLivraison immédiate"
Serrure intelligente avec empreinte,95 000 F Cfa,Sacré-cœur Dakar,"Serrure intelligente pour porte blindée,porte d appartement et portail maison.
Options d'ouverture :
Empreinte (100)
Carte : 2 possibilité d'augmenter jusqu'à 100
Clé : 2
Code: possibilité de créer plusieurs code"
pointeuse controle d acces ZKTeco F18,100 000 F Cfa,Plateau Dakar,"pointeuse controle d acces ZKTeco F18
Terminal de temps et de présence avec fonctions de contrôle d'accès
Marque : ZKTECO
Model F18
Reconnaissance utilisateur en une seconde
Lecteur d'empreintes digitales avec capteur optique ZK durable et très précis
Stocke 3 000 modèles, 5 000 cartes et 30 000 transactions
Lit l'empreinte digitale et / ou la CARTE
Lecteur de carte à puce intégré OPTIONNEL
Ports série et Ethernet intégrés
Interrupteur inviolable et sorties d'alarme
Contacts de demande de sortie et d'alarme
Indications audiovisuelles pour l'acceptation et le rejet de doigts valides / invalides"
Groupe électrogène neuf à vendre,19 000 000 F Cfa,Sangalkam Dakar,Groupe électrogène de 250KVA neuf à vendre de la marque KOHLER SDMO
PANNEAUX 550W,65 000 F Cfa,Plateau Dakar,"Nous disposons d'un grand stock de panneaux 550W  LONGI LR5-72H-550M
Voltage at pmax  41.96V
Currentbat Pmax  13.12A"
Puff vape 15000 puff divers saveurs Cigarette Crazyace,12 500 F Cfa,Médina Dakar,Divers saveursPêche mangue🍑🥭Granite ananas 🍍🧃Arc en Ciel 🌈Menthe Hawaï 🌿☀️----Intensité Variable de fumée pour s'adapter à vos envies---Avec toujours une livraison gratuite sur Dakar
Carrelette manuelle RUBI,250 000 F Cfa,Plateau Dakar,rubi slip cutter plus conçu pour la découpe des carreaux et des dalles de formats supérieures à 3m par 1m et d'épaisseur de 3 à 10mm
Fenêtre aluminium neuves,52 000 F Cfa,Thiaroye Dakar,"Bonjour pour arrêt travaux je liquide 6 fenêtres aluminium neuves 1m/1m.
Nb: prix légèrement négociable"
Bouillotte ceinture eau chaude 2 en 1,8 000 F Cfa,Mermoz Dakar,"La bouillotte ceinture 2 en 1 est un accessoire innovant et pratique conçu pour soulager les douleurs musculaires et assurer une sensation de confort au quotidien.
Avantages :
-Soulagement des douleurs musculaires et articulaires.
Peut être utilisé à la maison, au bureau ou même en déplacement grâce à sa portabilité.
-Améliore la circulation sanguine et aide à réduire le stress.
-Fabrication en matériaux doux et durables pour un usage prolongé.
Idéale pour ceux qui cherchent une solution de relaxation ou un moyen pratique de gérer la douleur au quotidien, la bouillotte ceinture 2 en 1 est un produit polyvalent à avoir dans votre armoire à bien-être. Contenance :  1 litre"
Transpalette manuel capacité de 3500 kg,250 000 F Cfa,Plateau Dakar,"Transpalette manuel adapté à de lourdes charges pouvant aller jusqu'à 3500 kg. très robuste, conçu pour déplacer des palettes standards. sa structure (châssis et fourches) est conçue en tôle d'acier pliée pour résister aux chocs et à l'usure du temps."
Porte toilette en bois avec cadre,55 000 F Cfa,Nord foire Dakar,Porte toilette en bois avec cadre  disponible à Nord Foire en face de la brioche d'oree
Porte toilette en pvc ou panneau,70 000 F Cfa,Nord foire Dakar,Porte toilette pvc en panneau ou  double vitrage antibruit disponible à Nord Foire en face de la brioche d'oree
Fenetre pvc antibruit double vitrage,73 000 F Cfa,Nord foire Dakar,"Fenetre deux ouvrants pvc, double battants double vitrage, quasi blindée, étanche, isolante thermique, phonique, confort et sécurité garantie en cas de fermeture. Idéales en bordure marine et routière.
Nous sommes à Nord foire en face de la brioche d'oree"
Porte double battants antibruit pvc,130 000 F Cfa,Nord foire Dakar,"Porte deux ouvrant pvc, double battants double vitrage, quasi blindée, étanche, isolante thermique, phonique, confort et sécurité garantie en cas de fermeture. Idéales en bordure marine et routière.
Nous sommes à Nord foire en face de la brioche d'oree"
Comptoirs frigorifique à vendre,750 000 F Cfa,Mbour Thiès,"Comptoirs frigorifique gm et pm
État : Bon
Prix Pm :
Et Gm :"
Machine à barbe à papa familial,30 000 F Cfa,Pikine Dakar,"Transformez chaque moment en fête avec notre machine à barbe à papa familiale !Simple à utiliser, rapide et sécurisée, cette machine permet de créer des barbes à papa délicieuses en quelques minutes. Idéale pour les anniversaires, les goûters ou les moments en famille, elle ravira petits et grands. Compacte et facile à ranger, elle vous permet de faire des économies en réalisant vos propres barbes à papa à la maison.Ajoutez une touche de magie et de gourmandise à vos événements !"
CHAMBRE A COUCHE COMPLETE,700 000 F Cfa,Golf Dakar,"Je vends cette chambre à coucher laminé composer de :
un lit 190cm x 180cm,
une armoire six battants coulissant,
une coiffeuse,
eux chevets de lit"
Carotteuse Stihl fs 560 c,500 000 F Cfa,Parcelles Assainies Dakar,"En construction, on parle de carottage pour désigner un percement circulaire dans une surface en béton ou en maçonnerie, sur une paroi ou dans le sol. a la différence d'un petit percement dans le mur qui peut être fait à l'aide d'une simple perceuse, le carottage est effectué par une machine puissante et spécialisée car le diamètre est plus large. il peut être horizontal ou vertical"
Puissant surpresseur boshelo,125 000 F Cfa,Parcelles Assainies Dakar,Vous désirez certainement avoir un bon débit d eau même  à  n  importe quel hauteur. Et bien ne ratez surtout pas cette spéciale offre. Il est tout neuf. N hésitez donc pas à m appeler
Chauffe eau solaire QAL (300l; 200l ; 150l et 100l),10 F Cfa,Parcelles Assainies Dakar,"L'avez vous au chaud 24h/ 24 grâce à cette puissante machine. En cette période de fraîcheur ou il est difficile de se réveiller, ne ratez surtout pas cette spéciale offre. Elle est toute neuve. Choisissez votre capacité préférée puis on parlera du prix."
Matériels de boulangerie,1 F Cfa,Touba Diourbel,"Bonjour je vends mon boulangerie vous pouvez me contacter
Soit vous me écrit sur WhatsApp"
Tronçonneuse HUSQVARNA,285 000 F Cfa,Parcelles Assainies Dakar,Enfin vous avez une excellente tronçonneuse avec une lame de 1 m.Oui sciez rapidement et surtout avec efficacité grâce à cet puissant outil de qualité.
"Mini Souffleur d'Air Électrique Sans Balais, Puissant",15 000 F Cfa,Castor Dakar,"Mini Souffleur d'Air Électrique Sans Balais, 130000 tr/min, Rechargeable, 3 Vitesses, Turbo, Souffleur ViolentDépoussiéreur à air comprimé, puissant souffleur d'air électrique portable 100 000 tr/min, ventilateur turbo à 3 vitesses, nettoyeur de clavier, ventilateur à jet avec chargement USB, pour barbecue extérieur, pompe à airMoteur sans balais puissant :Ce dépoussiéreur à air comprimé est doté d'un moteur sans balais à grande vitesse avec un régime maximal de 130 000 tr/min. Le dépoussiéreur à air électrique fournit des vents forts pour souffler la poussière et éliminer la saleté de divers interstices sur les claviers et les appareils électroniques.【Artisanat fin 】Le ventilateur portatif sans fil est petit et exquis, compact et léger, et peut être facilement transporté. Il peut être ajusté en trois vitesses et dispose d'u
n affichage lumineux à LED, ce qui est pratique pour vous d'utiliser la nuit. Deuxièmement, il est également équipé d'un sac de rangement, vous n'avez donc pas à craindre de perdre des accessoires ou d'être gênant à transporter lorsque vous voyagez. En même temps, le mini ventilateur turbo-jet dispose également d'un affichage de puissance, de sorte que vous pouvez clairement connaître l'état de la batterie.【Moteur sans balais et vent fort】Adoptant un moteur sans balais à faible bruit et à grande vitesse, la vitesse de sortie maximale atteint 130,000 tr/min et peut fournir une forte puissance de soufflage. Conception de vent fort, un bouton marche/arrêt, opération simple et pratique, avec un effet de dépoussiérage parfait. Vitesse du vent jusqu'à 39.5 M/S, puissance du moteur jusqu'à 200W.【Largement utilisé】Convient pour le soufflage de feu de carbone, le soufflage de poussière industrielle, le soufflage de suie, le nettoyage de clavier, le nettoyage de voiture et de moto, le nettoyage de console centrale de voiture, le nettoyage de crevasse de voiture, le nettoyage de miettes de tapis de pied, le nettoyage d'ordures de pique-nique, etc.CARACTÉRISTIQUES :
Type de produit : souffleur à air comprimé
Matériel : ABS
Vitesse : 130000 tr/min
Moteur : Moteur sans balais
Fonction : Air froid
Puissance nominale : 200 W
Vitesse de l'air maximale : 39,5 m/s
Modes d'alimentation : 7.4 V
Temps de charge : 2 heures
Capacité de la batterie : 5000 mah
Dimensions : 129,47837,9 mm
Poids : 230 g"
Porte Aluminium double,80 000 F Cfa,Golf Dakar,"Dimension
Largeur 1.20
Hauteur 1.90"
Puissante moto pompe Likou (50) gazoil,285 000 F Cfa,Parcelles Assainies Dakar,Responsable d entreprise ne ratez surtout pas cette spéciale. Vous avez l habitude d utiliser de  cette spéciale machine dans vos chantiers ; champs ; verger ;pépinière..et bien  eiie est la meilleure des motos pompe. Elle est toute neuve
Machine à forage,3 500 000 F Cfa,Parcelles Assainies Dakar,"Cette machine peut creuser 100 mètres.
Ça vient avec tous les outils.
Prix 3500.000"
Valise universelle pour tous,78 000 F Cfa,Parcelles Assainies Dakar,"Elle contient une puissante perceuse ; une pince cuter; un niveau, un testeur , des tournevis ; pince universelle ; pince à gaz, marteau....Bricoleurs ; professionnels ;amateurs,ne ratez surtout pas cette spéciale offre."
Matériaux en Aluminium Inox,N/A,Ngor Dakar,"Escaliers , Portes, balcons,  Fenêtres en aluminium inox pour maisons"
Déambulateurs Anglais,53 000 F Cfa,Hann maristes Dakar,"Aidez vos proches a retrouver leur mobilité, après une blessure maladie ou vieillesse. ces déambulateurs aident grandement a se tenir debout et se déplacer a la maison ou dehors plus de sécurité (fatigué on s'assoit).Ils sont équipés de Systemes de freinage.Livraison possible"
CHAISE ANGLAISE MODERNE,1 F Cfa,Parcelles Assainies Dakar,"Chaise anglaise moderne pour salle de bain et toilettes publique,disponible.
Stok disponible dans notre boutique, pour plus de produits veuillez visiter notre boutique sur WWW.EXPAT-DAKAR.COM."
CRES CERAME POUR SOLS,3 500 F Cfa,Parcelles Assainies Dakar,"Crés cérame pour sols 30/30 ,qualité disponible disponible dans notre boutique"
réservoir,N/A,Plateau Dakar,"khelcome business vous offre des réservoirs d'eau, fut cuve ou baril d'eau de 100L jusqu'à 5000L avec service livraison disponible."
Kit de caméra sans fil+tablette NVR,185 000 F Cfa,Sacré-cœur Dakar,Des kits de caméra de surveillance avec différents modèles disponibles à différents prix.Plus d informations veuillez nous contacter
Évier cuisine américaine ou simple,1 F Cfa,Sacré-cœur Dakar,Évier cuisine américaine avec différents modèles disponibles. Des éviers standard aussi disponible
Ubiquiti UniFi Switch 48 Gigabit 24V/802.3af/at PoE 500W,650 000 F Cfa,Plateau Dakar,(48) Ports Gigabit RJ45(2) Ports SFP+(2) Ports SFP(1) Port de console sérieDébit non bloquant: 70 Gbit/sCapacité de commutation: 140 GbpsTaux de transfert: 104.16 MppsConsommation d'énergie maximale : 500WSupporte PoE + IEEE 802.3at/afMontage sur rack
Point Accès UBIQUITI UniFi AC PRO,130 000 F Cfa,Plateau Dakar,"Points fortsNormes : 802.11b/g/n/ac 2.4 GHz et 5 GHz (450 + 1300 Mbps)Puissance de sortie : 22 dBmAntennes : 3×3 MIMO intégréesBSSID : Jusqu'à 4 par APClients : 200+Ports : 2 x Ethernet 10/100/1000Sécurité : WEP, WPA-PSK, WPA-Enterprise (WPA/WPA2, TKIP/AES)VLAN : 802.1QConsommation max : 9 W (Injecteur PoE (48 V, 0,3A) fourni)"
Onduleur Mercury 850 VA Maverick ups,30 000 F Cfa,Médina Dakar,"Type: interactive;
Puissance: 850 VA;
Onde de sortie: vitesse d'approximation d'une onde sinusoïdale;
Le temps de transfert de la batterie: 8 MS;
Le nombre de sortie connecteurs d'alimentation: 3 (d'eux à piles - 2);
Type de sortie connecteurs d'alimentation: IEC 320 C13 (l'ordinateur);
Entrée / Sortie
Entrée: 1-tension de phase;
Sortie: 1-tension de phase;
Tension d'entrée: 140 - 285;
Facteur de puissance: 0.6;
Les fonctionnalités
Affichage de l'information: indicateurs led;
Alarme sonore: oui;
Démarrage à froid: oui;
La Protection
Protection de surcharge: oui;
Protection contre les impulsions à haute tension: oui;
Filtrage de bruit: oui;
Protection de court-circuit: oui;
Informations supplémentaires
Couleur: noir;
Dimensions (LxHxP): 145x230x370 mm;
Poids: 6.5 kg;Build in AVR with wide input range of 140~300VAC
Auto restart
Output short circuit protection
Overload protection
Overcharge protection
Sleek and compact design with CPU control original tout neuf scellé dans sa boîte garantie 1an avec possibilité de livraison avec facture sous 2h Nb prix fixe"
Réfrigérateur,35 000 F Cfa,Rufisque Dakar,Réfrigérateur Beko venant à vendre
Pack sanitaire complet,125 000 F Cfa,Sacré-cœur Dakar,"Pack complet :
1- Chaise anglaise+ mécanisme+abattant+douchette+robinet double+flexible+ vice fixation
2-  Lavabo+pied + robinet simple+ flexible+ siphon+vice de fixation
3- Miroir simple 60*40
4- Accessoires de douche
5- Chasse d'eau+ robinet simple
Le tout à prix promo y compris livraison gratuite sur Dakar"
Colonne de douche design,1 F Cfa,Sacré-cœur Dakar,Des colonnes de douche avec différents modèles disponibles à différents prix.plus d'informations veuillez nous contacter
Snooz pablo boite de sachet de nicotine,10 000 F Cfa,Ouakam Dakar,"Plongez dans une expérience rafraîchissante avec le PABLO X-Ice Cold, un produit innovant qui redéfinit votre manière de consommer de la nicotine. Conçu par NGP, un fabricant de renom dans l'univers des sachets de nicotine, ce produit se distingue par sa force et sa saveur inégalées."
Caméra de surveillance à vendre,60 000 F Cfa,Avenue Bourguiba Dakar,"Résolution 5MP (2560x1920)•	Offre des images claires et détaillées, idéales pour l'identification des objets et des visages.Vision Nocturne•	Dotée de la technologie infrarouge pour une surveillance continue de jour comme de nuit, avec une portée pouvant atteindre 30 mètres (environ 98 pieds), ce qui permet une couverture complète même dans l'obscurité.Installation Extérieure et Intérieure•	Conçue pour résister aux conditions climatiques variées, idéale pour une utilisation à l'intérieur comme à l'extérieur.Connectivité•	Caméra IP, ce qui signifie qu'elle peut se connecter facilement à un réseau via câble Ethernet ou Wi-Fi (selon le modèle). Elle peut être intégrée à un système de surveillance plus large, compatible avec des logiciels tiers.Détection de Mouvement•	Alerte automatique en cas de mouvement détecté, avec la possibilité de recevoir des notifications en temps réel sur votre smartphone ou par e-mail.Enregistrement Flexible•	Compatible avec des enregistreurs vidéo en réseau (NVR) ou avec des options de stockage local via carte SD, pour garder les vidéos enregistrées en toute sécurité.Accès à Distance•	Vous pouvez consulter les images en direct et accéder aux vidéos enregistrées via une application mobile ou un logiciel sur PC, de n'importe où."
Tissu de serre ombriére grillage,1 F Cfa,Mbao Dakar,"Tissu de serre ombriére grillage barbar brise Vent de bonne qualité à grand mbao site sipres terminus 44
Venant d'Espagne"
Bambous Naturel à vendre en détail ou en gros,4 500 F Cfa,Almadies Dakar,"Tige de Bambou disponible à la vente sur Dakar.
Disponibilité : 176 Tiges ( Tiges courtes entre 3/3,5m et Tiges longues 5m et plus )"
Thermomètre numérique avec écran LCD,4 000 F Cfa,Hann maristes Dakar,"Une santé sans mercure et sans souci peut éviter les dommages causés par le verre fragile du thermomètre ou les fuites de mercure, la tranquillité d'esprit et la protection de l'environnement.
La conception étanche de la tête de détection de température peut être directement frottée et désinfectée avec de l'alcool ou de l'eau claire.
La tête souple en silicone TPR de qualité médicale s'adapte plus confortablement à la peau de bébé.
L'affichage numérique sur grand écran LCD peut être facilement utilisé par les personnes âgées et les enfants pour éviter les erreurs de lecture.
La mesure de la température de résistance de la sonde à haute température est principalement destinée à la mesure de la température des aisselles, qui peut mesurer la température corporelle équilibrée en seulement 5 minutes."
Bac réfrigérés,800 000 F Cfa,Almadies 2 Dakar,Vente de bacs réfrigérés de capacités de 1255L et de 334L.
camera de surveillance,N/A,Nord foire Dakar,Camera de vidéo surveillance
VENTE ET INSTALLATION DE VIDÉO SURVEILLANCE,1 F Cfa,Nord foire Dakar,Vente et installation de vidéo surveillance
lot de 3 mètre ruban  ; possibilité d'acheter 1,6 000 F Cfa,Hann maristes Dakar,"Ruban à mesurer pour le corps : mesure n'importe quelle partie du corps : bras, cuisse, mollet, poitrine, taille, hanches, etc. Mesure jusqu'à 150 cm de long. Parce que le boîtier du ruban à mesurer mesure 5,1 cm de large, nous commençons à mesurer 5 cm pour aider à simplifier le processus de mesure.
Rétraction du bouton poussoir et fonction de verrouillage des broches : pour obtenir les lectures les plus précises et les plus confortables, la broche se verrouille en place et vous pouvez rétracter le ruban pour obtenir les meilleures mesures. La fonction de rétraction et de verrouillage par bouton-poussoir garantit une mesure appropriée et une précision supérieure.
Design ergonomique et portable : mini design portable et élégant vous aide à l'utiliser avec facilité pour la mesure. Et il est facile à ranger n'importe où : commode, bureau, tiroir, salle de sport.
Application : ce mètre ruban pour le corps a des marques larges et claires en pouces et en cm. Idéal pour la couture, l'artisanat, les mesures corporelles et plus encore. C'est également un cadeau de Noël parfait."
Des réservoirs d'eau disponibles,90 000 F Cfa,Pikine Dakar,"des réservoirs d'eau sont disponibles
500 L
750 L
1000 L
2000 L
3000 L
5000 L
10000 L"
Oxymètre de pouls saturomètre Sp02,15 000 F Cfa,Hann maristes Dakar,"L'opération est simple et démarrage à un bouton. Débarrassez-vous des étapes fastidieuses de l'opération.
Mettez simplement votre doigt sur la machine, appuyez sur le bouton de fonctionnement et attendez. Après quelques secondes, vous connaîtrez avec précision le niveau de SpO2 et la fréquence du pouls.
Selon la technologie de balayage et d'enregistrement d'impulsions de volume, la technologie de détection de saturation en oxygène photoélectrique est adoptée. L'oxymètre de pouls peut mesurer la saturation en oxygène du pouls et la fréquence du pouls à travers les doigts. Oxymètre de pouls portable saturation oxygène sanguin Monitor Detector Sports tensiomètre Thermomètre"
Machine à café Expresso,150 000 F Cfa,Parcelles Assainies Dakar,Machine neuve dans sa boîte d'origine. Jamais ouverte.
Cliveuse Fibre Optiaue,40 000 F Cfa,Golf Dakar,M9 Coupe-fibre optique  de haute précision 16 positions de lames pour l'utilisation FTTX
Four une porte ESMACH,3 000 000 F Cfa,Yoff Dakar,"Je mets en vente mon four de marque ESMACH
Les chariots et les plateaux sont offerts"
Régulateur de tension +/- 20%  15kva à 400kva,450 000 F Cfa,Rufisque Dakar,"Régulateur de tension 15 à 400kva
+/-20% avec une qualité supérieure à celle du marché local et garantie"
Civière dorsale orthopédique,12 000 F Cfa,Parcelles Assainies Dakar,"*Soulagez Vos Douleurs de Dos et de Cou !
Les douleurs dorsales et cervicales peuvent devenir handicapantes si elles sont ignorées.Civière Dorsale Orthopédique
Utilisez-la 5 à 10 minutes par jour pour soulager vos douleurs et améliorer votre posture.Prix : 12 000 Francs, livraison gratuite à Dakar !"
Niveau Laser BOSCH,110 000 F Cfa,Yoff Dakar,"niveau laser BOSCH disponible chez SBG
venez profiter de la promo de fin d'année chez SBG
Prix au plus bas"
Bétonnière Electrique 200L,460 000 F Cfa,Yoff Dakar,"Bétonnière électrique 200L presque neuf utilisé une seule fois pour des essaies.
très adapter pour les maçons et carreleur;...
prix wanterrePromo fin d'année chez SBG"
Panneau Doka 2m,15 000 F Cfa,Yoff Dakar,"Liquidation de stock de panneau jaune doka 2m 21mm
2000x500x21
venez de la promo de fin d'année chez SBG
les prix sont aux plus bas.
Livraison offerte à partir de 50 panneaux"
Machine débecquer bec,150 000 F Cfa,Rufisque Dakar,"Du nouveau chez Ets Mouhamed Traoré et Fils
Nouvel arrivage de machines à débecquer pour vos bec s de poulets ou oiseaux
Plus d'informations appeler nous"
CARREAUX GRÈS POLY 60X120,7 900 F Cfa,Hann maristes Dakar,"Carrelage GresPoly 60X120 Qualité Supérieure Convenable à tous les espaces Sol de vos bâtiments. Salon Chambres Couloir etc...
NB : Nos Carreaux Grès Cerame Poly 60X120 sont certifiés."
Imou Cruiser Z 3K 5MP IPC-S7DP-5M0WEZ,65 000 F Cfa,Plateau Dakar,"Imou - Caméra extérieur WiFi Cruiser Z 3K 5MP IPC-S7DP-5M0WEZDESCRIPTION DU PRODUIT :◉ Nom : Caméra de surveillance
◉ Marque : Imou
◉ Modèle : IPC-S7DP-5M0WEZ
◉ Résolution : CMOS progressif 1/3"" 5 mégapixels 5MP
◉ Utilisation : Extérieur
◉ Vision de nuit : Oui
◉ Rotation : Panoramique de 0 à 355° et inclinaison de 0 à 90°
◉ Prise en charge : MicroSD jusqu'à 512Gb / Cloud Storage
◉ Réseau : Ethernet & WiFi
◉ Alimentation : 12V1A
◉ Étanchéité : IP66
◉ Fonction 1 : Micro et haut-parleur intégrés
◉ Fonction 2 : Audio bidirectionnel
◉ Fonction 3 : Application Imou : iOS, Android
◉ Couleur : Blanc"
Pack de six rouleaux essuie-tout GARBI XL,12 500 F Cfa,Plateau Dakar,"Pack de six rouleaux essuie-tout GARBI, 70m, doté d'une grande résistance et d'une grande capacité d'absorption. Made in Spain."
Béton noir,22 F Cfa,Ngoundiane Thiès,"Pour vos constructions de maisons, que vous soyez particulier ou ou coopérative d'habitat nous vous assurons une livraison continu disposons en béton . Dites nous juste la quantité et le lieu de livraison . Merci de nous contacter"
Ombriére tissus de serre grillage barbar,1 F Cfa,Mbao Dakar,"Ombriére tissus de serre grillage barbar Venant d'Espagne
Lieu grands mbao"
Accessoires salle de bain noir/doré/argenté,38 000 F Cfa,Sacré-cœur Dakar,Accessoires de douche design avec différents modèles disponibles à différents prix veuillez nous contacter
Tissus de serre grillage barbar brise,1 F Cfa,Mbao Dakar,"Tissus de serre grillage barbar brise Vent et goût à goût
Tous matériaux agricol disponibles à Wethima group ( nguirr yombal sén mbay ar sén guathiakh gui ) venant d'espagne"
"Vente Agglos, hourdis & pavés #dimensions",400 F Cfa,Pikine Dakar,"Bonjour
Nous vendons des produits vibrées : Agglos A7, A10, A15 etcc.., Hourdis H12, H16 etc.... Ainsi que des pavés en H ..... bordures et autres . Nous vous proposons des prix très abordables et un service de transport
Si vous êtes intéressé merci de nous contacter pour plus de détails  cordialement"
Hallufix Hallux Valgus,10 000 F Cfa,Castor Dakar,"Hallufix Hallux Valgus - Attelle, Correction du Désalignement du Gros Orteil (1 pièce)L'attelle Hallufix Hallux Valgus a été développée par des scientifiques et des chirurgiens orthopédistes pour corriger le désalignement du gros orteil (<>, terme technique: Hallux Valgus).
Il a été prouvé que cette attelle articulaire corrige le désalignement des orteils, protège et soulage la zone douloureuse du ballon et soutient tout le pied lors du roulement.
L'attelle Hallux Valgus est facile à mettre et peut être portée à gauche et à droite. Avantage particulier de l'attelle Hallufix® Hallux Valgus:
Contrairement aux attelles de conventionnelles et rigides Hallux Valgus, le système breveté d'attelle articulaire permet à la fois une mobilité normale du pied la nuit et pendant la journée lors de la marche. Grâce à l'articulation anatomiquement adaptée à hauteur de boule, la mobilité naturelle de l'articulation métatarsophalangienne du gros orteil est conservée lors du port de cette attelle hallux valgus. Le coussin latéral, adapté à la forme de l'attelle, épouse la zone sensible de la plante du pied et se refroidit si nécessaire. L'attelle Hallufix® Hallux Valgus est le premier choix pour la correction et la protection en cas de désalignement du gros orteil.
L'attelle Hallufix Hallux Valgus avec coussin latéral en gel peut être utilisée pour corriger le désalignement du gros orteil. Le pied peut être ramené dans sa forme naturelle et maintenu à l'aide de l'attelle.
Attelle Hallux valgus pour la correction permanente de la déformation du gros orteil
L'articulation flexible de l'attelle maintient la mobilité des pieds
Redresser l'arc transversal et amener les métatarses dans une position optimale
Facile à porter dans des chaussures confortables
L'oreiller en gel peut être refroidi au réfrigérateur.Les indications :
Pour le traitement conservateur, prophylactique et postopératoire de l'hallux valgus
Mention légale
Demandez à votre médecin ou à votre pharmacien quels sont les risques et les effets secondaires.
Informations sur le produit : ""Attelle de nuit Hallux Valgus, uni""
L'attelle de nuit Hallux Valgus est utilisée pour corriger le désalignement du gros orteil. Il est utilisé à titre préventif pour les hallux valgus légers à modérés. Même après une opération hallux valgus, l'attelle de nuit est idéale pour conserver la position corrigée des orteils et raccourcir la période de rééducation. L'attelle doit être portée la nuit avec un pied non sollicité et ne peut pas être utilisée dans les chaussures.Caractéristiques :
L'attelle HALLUFIX Valgus soutient tout le pied. L'attelle HALLUFIX est facile à mettre et peut être portée à gauche ou à droite.
Le matériau respirant améliore le climat du pied.
Le joint de rail flexible vous permet de bouger. Le bandage métatarsien aligne de manière optimale le métatarse.
Le bandage des orteils corrige le désalignement.
L'attelle HALLUFIX peut également être portée pendant la journée sous tension (en marchant) - une durée de port d'environ 2 à 3 heures est idéale."
UKC SLB-100W LAMP SOLAIRE,23 000 F Cfa,Castor Dakar,"Ce projecteur possède une lampe solaire puissante étanche IP 66. Il est entièrement modulable par sa puissance d'éclairage solaire pouvant être réduite.Le panneau photovoltaïque cristallin collecte l'énergie solaire la journée, la stocke dans la batterie Lithium intégrée à la lampe pour alimenter les Led de votre projecteur solaire qui s'allume automatiquement à la tombée de la nuit grâce à son détecteur crépusculaire en mode Automatique, ou en mode manuel jour et nuit.Type de produit : Eclairage solaire
Marque : UKC
Contrôleur RF
Angle de lumière du faisceau: 120 degrés
Matériel : Aluminium
Angle de lumière du faisceau : 120 degrés
Étanchéité : IP66
Installation facilePRIX :
Puissance nominale : 100 watts > 23000
Puissance nominale : 200 watts > 29000
Puissance nominale : 300 watts > 36000"
