Titre,Prix,Adresse,Description
EBI max 48v,62 500 F Cfa,Parcelles Assainies Dakar,"Avec cette puissante perceuse portative, travaillez rapidement et surtout avec efficacité partout où vous êtes. Elle est accompagnée de 2 puissantes  batteries rapidement rechargeables."
Vente sable béton & Tous matériaux de construction,15 000 F Cfa,Cambérène Dakar,Livraison Partout au Sénégal
Portes - Fenêtres-Balcon Métalliques,N/A,Ngor Dakar,Portes - Fenêtres-Balcon Métalliques
SCIE A OS SANS LAME 1800mm SMBS,995 000 F Cfa,Point-e Dakar,Ventre de matériels de charcuterie.
ENSEMBLE CLIMATISEUR ARMOIRE + MOTEUR TCL,500 000 F Cfa,Point-e Dakar,Vente de matériels électroniques.
TRANCHEUSE SAUCISSON ET JAMBON SMBS,495 000 F Cfa,Point-e Dakar,Vente de matériels charcuterie
Machine à souder,180 000 F Cfa,Sacré-cœur Dakar,Machine à souder et perseur
ELEMENT DE RAYON MURAL 5 ETAGERES,40 000 F Cfa,Point-e Dakar,Vente d'étagères et meubles de rayons.
CONGELATEUR VITRINE HORIZONTAL SMBS 912L,595 000 F Cfa,Point-e Dakar,Vente de matériels électroniques.
Rayon dos à dos avec 2TG : 12 ELEMENTS DE 6 ETAGERES,40 000 F Cfa,Point-e Dakar,Vente d'étagères et rayons.
FRIGO VITRINE CHARCUTERIE SMBS,990 000 F Cfa,Point-e Dakar,Vente d'articles électroniques.
BALANCE CONNECTEE AVEC IMPRESSION TICKET,625 000 F Cfa,Point-e Dakar,Vente de matériels électroniques.
FRIGO VITRINE 3 PORTES 1320L SMBS,1 110 000 F Cfa,Point-e Dakar,"FRIGO VITRINE 3 PORTES 1320L SMBS
Wanter"
CONGELATEUR VERTICAL 3PORTES VERSION AMERICAIN 110V,400 000 F Cfa,Point-e Dakar,Wanter !!! nous liquidons tous nos articles en magasins à des prix imbattables.
CONGELATEUR VITRINE HORIZONTAL,1 035 000 F Cfa,Point-e Dakar,Nous mettons en ventes des congélateurs Horizontal/Vertical et d'autres matériels à des prix abordables.
FRIGO VITRINE 2 PORTES 820L,720 000 F Cfa,Point-e Dakar,Wanter materiels electroniques
